filename,score_1,score_2,bingo_1,bingo_2,percent_dif
fifty283.gcg,8850,9050,1,0,2.2346368715083798
fifty297.gcg,7900,8150,0,0,3.115264797507788
fifty296.gcg,8600,8200,1,0,4.761904761904762
fifty282.gcg,8250,10300,0,0,22.10242587601078
fifty269.gcg,9050,10150,0,0,11.458333333333332
fifty255.gcg,10000,8150,0,0,20.385674931129476
fifty241.gcg,10150,8400,1,0,18.867924528301888
fifty58.gcg,9300,9900,0,1,6.25
fifty70.gcg,8200,8650,0,0,5.341246290801187
fifty123.gcg,10300,8800,0,0,15.706806282722512
fifty64.gcg,8600,8650,0,0,0.5797101449275363
fifty137.gcg,9350,8100,0,0,14.326647564469914
fifty2.gcg,7400,10800,1,0,37.362637362637365
fifty6.gcg,10650,8500,1,0,22.45430809399478
fifty48.gcg,9400,8650,0,1,8.310249307479225
fifty133.gcg,9250,9200,1,1,0.5420054200542005
fifty60.gcg,9100,9550,0,0,4.825737265415549
fifty127.gcg,11450,8150,1,0,33.6734693877551
fifty74.gcg,9200,9250,0,2,0.5420054200542005
fifty279.gcg,9550,8700,1,0,9.315068493150685
fifty245.gcg,9050,8650,0,0,4.519774011299435
fifty251.gcg,9200,8400,0,0,9.090909090909092
fifty286.gcg,8550,10750,0,2,22.797927461139896
fifty292.gcg,7450,8700,0,2,15.479876160990713
fifty293.gcg,9650,7900,0,0,19.943019943019944
fifty287.gcg,9800,7850,0,0,22.096317280453256
fifty250.gcg,8700,8900,0,0,2.272727272727273
fifty244.gcg,8900,9100,0,0,2.2222222222222223
fifty278.gcg,9000,9950,0,0,10.026385224274406
fifty75.gcg,7950,9500,0,1,17.765042979942695
fifty126.gcg,8300,9400,1,0,12.429378531073446
fifty61.gcg,9650,7900,0,0,19.943019943019944
fifty132.gcg,9050,8700,0,0,3.943661971830986
fifty49.gcg,9300,8650,0,0,7.242339832869081
fifty7.gcg,9600,8000,1,1,18.181818181818183
fifty5.gcg,9200,8850,1,0,3.8781163434903045
fifty118.gcg,9650,7600,0,0,23.768115942028984
fifty124.gcg,10400,7950,2,0,26.70299727520436
fifty77.gcg,9050,8100,0,0,11.078717201166182
fifty130.gcg,9000,8400,2,0,6.896551724137931
fifty63.gcg,9100,8600,1,0,5.649717514124294
fifty88.gcg,9200,7800,0,0,16.470588235294116
fifty252.gcg,9350,8050,0,0,14.942528735632186
fifty246.gcg,10100,8400,2,0,18.37837837837838
fifty291.gcg,9100,7900,0,1,14.117647058823529
fifty285.gcg,10100,9100,0,0,10.416666666666668
fifty284.gcg,9900,9050,0,0,8.970976253298153
fifty290.gcg,11450,8150,3,0,33.6734693877551
fifty247.gcg,9000,10100,0,1,11.518324607329843
fifty253.gcg,8700,9400,0,1,7.734806629834254
fifty89.gcg,8700,9500,0,0,8.791208791208792
fifty62.gcg,6650,10900,1,1,48.433048433048434
fifty131.gcg,9850,8000,1,0,20.72829131652661
fifty76.gcg,9650,9050,0,0,6.417112299465241
fifty125.gcg,9200,9750,0,0,5.804749340369393
fifty119.gcg,10200,8250,2,0,21.138211382113823
fifty4.gcg,10500,7900,0,1,28.26086956521739
