file,s1,s2,b1,b2,percDif
random1430.gcg,675,716,1,2,5.8950395398993525
random1356.gcg,716,543,1,0,27.482128673550438
random172.gcg,694,536,3,0,25.691056910569106
random166.gcg,597,506,1,1,16.500453309156846
random1342.gcg,620,618,0,2,0.32310177705977383
random1424.gcg,650,662,1,1,1.8292682926829267
random600.gcg,611,624,1,2,2.1052631578947367
random628.gcg,813,555,3,0,37.719298245614034
random1418.gcg,806,453,2,0,56.07625099285147
random1395.gcg,651,636,1,2,2.331002331002331
random1381.gcg,611,571,3,2,6.768189509306261
random833.gcg,570,717,1,2,22.843822843822846
random199.gcg,834,606,4,1,31.666666666666664
random827.gcg,596,627,1,0,5.069501226492233
random760.gcg,589,581,0,0,1.3675213675213675
random1222.gcg,608,751,0,3,21.0448859455482
random1236.gcg,564,605,1,0,7.014542343883662
random774.gcg,724,734,2,2,1.3717421124828533
random984.gcg,664,577,3,1,14.020950846091862
random748.gcg,562,537,0,0,4.549590536851683
random990.gcg,463,808,1,3,54.28796223446105
random947.gcg,606,658,0,3,8.227848101265822
random953.gcg,578,720,1,2,21.879815100154083
random204.gcg,671,547,1,0,20.361247947454846
random1020.gcg,739,534,3,0,32.20738413197172
random562.gcg,739,559,2,0,27.73497688751926
random576.gcg,758,509,2,1,39.30544593528019
random1034.gcg,557,639,0,1,13.712374581939798
random210.gcg,490,728,0,1,39.08045977011494
random238.gcg,564,728,1,2,25.386996904024766
random1008.gcg,568,658,0,2,14.681892332789559
random589.gcg,548,753,0,2,31.51421983089931
random1090.gcg,661,626,2,1,5.439005439005439
random1084.gcg,800,559,3,0,35.467255334805
random288.gcg,774,633,2,1,20.042643923240938
random511.gcg,688,501,1,0,31.455004205214465
random1053.gcg,682,572,0,1,17.543859649122805
random277.gcg,641,648,2,2,1.0861132660977502
random263.gcg,663,693,2,2,4.424778761061947
random1047.gcg,553,720,2,3,26.23723487824038
random505.gcg,704,598,2,0,16.282642089093702
random539.gcg,629,681,1,1,7.938931297709924
random1292.gcg,638,653,2,2,2.3237800154918666
random908.gcg,602,560,0,1,7.228915662650602
random1286.gcg,729,612,1,1,17.449664429530202
random934.gcg,615,653,2,0,5.993690851735016
random920.gcg,656,640,2,3,2.4691358024691357
random1251.gcg,761,624,2,0,19.783393501805055
random713.gcg,544,641,0,2,16.371308016877638
random707.gcg,584,700,1,2,18.06853582554517
random1523.gcg,748,450,1,0,49.74958263772955
random1245.gcg,583,657,1,1,11.935483870967742
random1279.gcg,596,698,0,1,15.765069551777433
random1480.gcg,592,547,1,0,7.9016681299385425
random1494.gcg,531,799,0,2,40.30075187969925
random868.gcg,644,550,1,2,15.745393634840871
random840.gcg,651,622,0,1,4.556166535742341
random698.gcg,651,598,1,2,8.486789431545235
random854.gcg,652,718,1,2,9.635036496350365
random101.gcg,539,644,1,2,17.75147928994083
random1325.gcg,514,616,0,1,18.053097345132745
random1443.gcg,684,640,2,2,6.646525679758309
random667.gcg,568,748,2,1,27.35562310030395
random673.gcg,600,619,1,0,3.1173092698933553
random1457.gcg,692,534,2,0,25.774877650897228
random1331.gcg,675,579,3,1,15.311004784688995
random115.gcg,690,645,3,2,6.741573033707865
random1319.gcg,718,582,1,0,20.923076923076923
random883.gcg,769,519,2,1,38.81987577639752
random897.gcg,660,600,1,1,9.523809523809524
random129.gcg,544,620,0,1,13.058419243986256
random25.gcg,800,606,3,2,27.59601706970128
random31.gcg,645,621,1,0,3.7914691943127963
random19.gcg,687,515,1,0,28.618968386023298
random465.gcg,770,492,2,0,44.057052297939784
random1127.gcg,790,575,3,0,31.5018315018315
random303.gcg,658,524,1,0,22.673434856175973
random317.gcg,569,856,1,3,40.280701754385966
random1133.gcg,523,799,1,3,41.75491679273828
random471.gcg,560,663,0,1,16.843826655764513
random459.gcg,690,539,0,1,24.572823433685922
random458.gcg,623,657,1,1,5.3125
random1132.gcg,772,539,2,1,35.545385202135776
random316.gcg,772,561,3,1,31.657914478619652
random470.gcg,535,690,0,1,25.30612244897959
random464.gcg,780,617,2,1,23.335719398711525
random302.gcg,756,544,2,0,32.61538461538461
random1126.gcg,725,615,2,2,16.417910447761194
random18.gcg,606,549,0,0,9.87012987012987
random30.gcg,631,628,0,2,0.47656870532168394
random24.gcg,620,638,0,2,2.8616852146263914
random896.gcg,651,631,2,0,3.1201248049921997
random128.gcg,585,680,1,2,15.019762845849801
random1318.gcg,521,710,0,2,30.706742485783916
random882.gcg,715,690,1,3,3.558718861209965
random1456.gcg,572,755,0,2,27.581009796533536
random672.gcg,546,666,1,1,19.801980198019802
random114.gcg,702,611,2,1,13.861386138613863
random1330.gcg,694,508,1,1,30.948419301164726
random1324.gcg,544,599,1,1,9.623797025371829
random100.gcg,525,607,0,1,14.487632508833922
random666.gcg,711,627,0,2,12.556053811659194
random1442.gcg,546,665,0,2,19.653179190751445
random855.gcg,658,531,2,0,21.362489486963835
random699.gcg,660,656,0,1,0.60790273556231
random841.gcg,623,542,1,1,13.905579399141633
random869.gcg,636,466,1,0,30.852994555353902
random1495.gcg,799,520,3,0,42.30477634571645
random1481.gcg,511,671,1,2,27.072758037225043
random1278.gcg,562,654,0,3,15.131578947368421
random1522.gcg,639,639,2,1,0.0
random706.gcg,570,650,0,2,13.114754098360656
random1244.gcg,753,538,3,1,33.30751355538342
random1250.gcg,639,504,1,0,23.62204724409449
random712.gcg,632,619,1,1,2.0783373301358914
random921.gcg,538,572,1,1,6.126126126126126
random935.gcg,551,864,1,2,44.24028268551237
random1287.gcg,512,781,0,3,41.608662026295434
random1293.gcg,729,621,3,2,16.0
random909.gcg,714,700,3,3,1.9801980198019802
random538.gcg,667,512,0,0,26.29346904156065
random1046.gcg,633,671,1,1,5.828220858895705
random262.gcg,712,506,2,0,33.825944170771756
random504.gcg,648,649,0,0,0.15420200462606012
random510.gcg,721,549,3,2,27.086614173228345
random276.gcg,565,585,1,0,3.4782608695652173
random1052.gcg,546,638,0,2,15.54054054054054
random289.gcg,722,514,2,1,33.65695792880259
random1085.gcg,671,487,3,0,31.77892918825561
random1091.gcg,525,670,0,0,24.267782426778243
random1087.gcg,688,651,2,2,5.526512322628827
random1093.gcg,775,570,1,1,30.483271375464682
random506.gcg,680,612,2,1,10.526315789473683
random260.gcg,597,683,1,2,13.4375
random1044.gcg,757,527,2,0,35.82554517133956
random1050.gcg,753,620,2,1,19.37363437727604
random274.gcg,624,576,1,0,8.0
random512.gcg,609,733,3,2,18.479880774962744
random1078.gcg,728,630,2,1,14.432989690721648
random248.gcg,685,570,1,1,18.326693227091635
random1285.gcg,585,705,1,3,18.6046511627907
random1291.gcg,577,685,1,1,17.11568938193344
random923.gcg,555,962,1,3,53.65853658536586
random937.gcg,521,754,0,3,36.549019607843135
random1246.gcg,625,684,2,2,9.014514896867839
random704.gcg,677,604,1,0,11.397345823575332
random1520.gcg,806,593,3,2,30.45032165832738
random710.gcg,587,650,1,1,10.185933710590138
random1252.gcg,570,617,0,2,7.919123841617523
random738.gcg,592,605,1,0,2.172096908939014
random1508.gcg,684,681,2,2,0.43956043956043955
random1497.gcg,611,697,1,2,13.149847094801222
random1483.gcg,603,563,0,0,6.86106346483705
random857.gcg,815,574,4,0,34.70122390208783
random843.gcg,866,414,2,0,70.625
random1332.gcg,561,706,0,3,22.888713496448304
